combo_id,distance,dist_return,dist_risk,mean_d_return,mean_d_risk,caa_return_mean,aa_return_mean,caa_risk_mean,aa_risk_mean,caa_sharpe_mean,aa_sharpe_mean,n,gamma,beta,lambda_1,lambda_2,lambda_3
396,0.1744540258959228,0.1345722960774652,0.11101578392163138,0.051679301584964234,0.011139705297929651,0.9166253868155085,0.8649460852305442,0.08193174026657157,0.0707920349686419,3.204572141848179,3.257714491433204,40,5.537506788037717,4.198039882816374,6.064786733221262,124.12039510905743,19.751061526406556
335,0.1745059150134159,0.11806632455800875,0.12850158512653634,0.05756467278031102,0.012676100635035931,0.986710659157033,0.929145986376722,0.10166725504426186,0.08899115440922593,3.098108114554823,3.119490154883043,40,10.446388961747289,1.1807714917697014,8.589762221556157,141.60106425266713,19.81871514869854
31,0.17470986174418637,0.10490071100796633,0.13971176264257726,0.02154317335389,0.00043584251241035284,1.0124157386881005,0.9908725653342106,0.10938246384209878,0.10894662132968844,3.0617236429250205,3.0092845616026045,40,8.221410777419806,1.9917742598801853,8.626803633663803,101.47725043259561,15.98690988747403
91,0.17497823090482145,0.14594369693421672,0.09652884861923154,0.024152562037940466,0.004582370111259994,0.8310670945645826,0.8069145325266422,0.06091163918958986,0.05632926907832987,3.368470672348658,3.408682024215234,40,3.0637802137061954,2.059807185642421,6.867583131510764,143.19404399953783,29.005147939920427
17,0.1759999606752364,0.1262490635376811,0.1226260988270577,0.04299663826734532,0.01128132634698254,0.9585159940931189,0.9155193558257736,0.09203893897047948,0.08075761262349694,3.161882404098582,3.226359056835638,40,14.903806676156819,0.7399755759164691,7.6615766363218425,78.67039093934,23.070525238011033
305,0.17852373469498756,0.13602484505110987,0.11561991774027458,0.03278459823301834,0.006383359836428642,0.9093325635168231,0.8765479652838046,0.07802018931341825,0.07163682947698961,3.260396561860168,3.2797906369724883,40,14.235244484618306,0.2013691197149456,8.267629765439779,121.53595710173249,27.8714849203825
43,0.17997218783870797,0.12815338692165099,0.12635939939696136,0.059952186484992565,0.014440597145110218,0.9993631154993112,0.9394109290143188,0.10507502076990352,0.0906344236247933,3.084131956152176,3.1257930827867506,40,1.947211368009448,0.5764565369114281,7.226679707691074,97.07310383487493,17.889029649738223
163,0.18022790597593538,0.13533565763946276,0.1190225099036511,0.04732279695991627,0.011965790734775736,0.9395030220983355,0.8921802251384191,0.08597403602026794,0.07400824528549221,3.206679398088729,3.2851141592511097,40,3.4467722214758396,0.6928483564406633,1.6918790047056975,18.092704685404897,5.605991148389875
169,0.1804354116900508,0.1341896318708334,0.120623714460003,0.024898878337829684,0.007955955567414508,0.9699227278181055,0.9450238494802757,0.09538004189819196,0.08742408633077745,3.1435633017426134,3.198753660061424,40,10.963439867831767,0.22895108861848715,7.118025165610015,30.47114251833409,20.113618005905302
139,0.181123419987098,0.16491369822035998,0.07489436165097293,0.008612523506165865,0.0012752086030615659,0.7003894542381699,0.6917769307320041,0.038183613352339774,0.036908404749278215,3.5946790265007875,3.607465486726139,40,1.4912383845075965,0.12383549278602005,4.926089162845164,166.87596416845918,29.768221111316233
188,0.18324431624646692,0.16834733023242182,0.07237165080507074,-0.0028453733379747133,8.907547859526351e-05,0.7707917390912936,0.7736371124292682,0.04870284705168275,0.04861377157308749,3.4934996643174117,3.51560532654666,40,4.354407814331353,3.7347142228856685,9.580586899910122,163.85644073877484,47.7368255795911
353,0.1837872766423842,0.16617025084666867,0.07851885626510023,0.0005246806140418697,-0.0002304565417423767,0.6653096752858375,0.6647849946717956,0.03365699612120495,0.033887452662947334,3.633103306647841,3.6211898966792426,40,13.846437450498343,0.5182063491083682,3.6690223634243013,157.32760588265955,24.741574151441455
3,0.18410715447018947,0.15694084179711562,0.09625495573279813,0.0020192587497432136,0.00020013153930510552,0.792420692556351,0.7904014338066078,0.052036832069748254,0.05183670053044316,3.478143079541057,3.4786719116223623,40,4.166700788773596,0.2366448705084622,9.29113734252751,146.39104583021253,43.62299261894077
303,0.1855866762243262,0.16059220889781928,0.09301912079412523,0.01330965338599766,0.0016842689175278302,0.7483578056957467,0.7350481523097491,0.04437676263274544,0.042692493715217605,3.5616442391839187,3.564859120748735,40,9.413891637697816,0.27546694315969944,7.037905641924589,161.63061393331736,37.75801486074924
97,0.1876649418082011,0.15520481289989194,0.1054969024975854,0.01415130004621025,0.0020488506940930093,0.8147479409245069,0.8005966408782967,0.05624764062379513,0.05419878992970212,3.4415084813082557,3.445530508158728,40,13.791219588369131,1.9357703587040307,8.32762696063146,136.7005014019087,36.51465660855174
164,0.18837557784960574,0.12511952889332723,0.1408206725579903,0.06623247243099958,0.0171340379837277,0.9908024682083152,0.9245699957773155,0.10426752795930787,0.0871334899755802,3.0699031353833313,3.1397075812583175,40,2.9308819212019444,2.625093999318779,2.858538343384862,45.67158715520054,7.190833908133208
463,0.1886898136013104,0.16558904571227015,0.09046609142102344,0.0002470385009020748,0.0006112428878845323,0.732559925532694,0.732312887031792,0.042115799310618623,0.04150455642273409,3.5797656334953603,3.603534355634723,40,10.301281861960888,1.6259607890620829,5.329925339110195,104.59872676339,29.974945036135615
295,0.18981929277312412,0.15800069225233687,0.1052004997928781,0.019970416647681587,0.003092225252395836,0.7888938302968992,0.7689234136492177,0.051787648296970155,0.04869542304457432,3.470894729132032,3.4976360049516018,40,8.086909146979451,2.415431595314294,4.999659884627908,113.96980217471719,23.907699230499567
12,0.19079647405209085,0.1711001286033079,0.08442772354293153,0.0039537779105418055,0.0004410749926941084,0.6965041844131145,0.6925504065025727,0.039475246953508326,0.03903417196081421,3.507665198726836,3.5188790293041166,40,5.636494577862322,4.615095664374531,3.1168876403011385,156.82018194999546,18.038132728636267
223,0.19143843730088236,0.1325622123934891,0.13811565849514443,0.07261999643057546,0.018533422418693664,0.9974962604155305,0.924876263984955,0.10501864276590527,0.08648522034721162,3.0791743070961966,3.1519898773679245,40,8.499393307603896,1.522645915299654,4.4336952425539495,67.68674884270877,10.806240914389491
297,0.19344715005806248,0.16362031073157104,0.10319977607383983,0.016929610643799223,0.0022638992671200064,0.7857047426108308,0.7687751319670315,0.051128179040004704,0.0488642797728847,3.481379928969453,3.4863561761697666,40,10.9006537636742,1.2342820166610182,3.8619595319032674,91.15003756061196,18.51594558544457
222,0.19405056139488364,0.15121590551987818,0.12161155494225369,0.046076558767487195,0.008661720032639533,0.8972735133038571,0.8511969545363698,0.07546097471160625,0.0667992546789667,3.269627643932952,3.3037775970588457,40,13.747283928096294,4.486677544657141,8.000819022767246,153.432539540343,28.55439463593066
501,0.19406520735451815,0.1543285961614572,0.11766048237359045,0.023310224916708422,0.005137789825172923,0.8880566850180452,0.8647464601013368,0.07270189658064767,0.06756410675547472,3.3004389779812797,3.3324112049328365,40,16.049116074107587,2.362354870326817,9.883417044207453,123.21399421989918,35.94069958012551
28,0.1942733134514983,0.17229991352468169,0.08974887252111485,0.01611573921463416,0.0020797366034279235,0.7219939695806381,0.7058782303660041,0.043281862119238276,0.04120212551581035,3.4723213850131556,3.4959605794014323,40,3.9268516153097153,3.2438148493878547,2.019849319756031,100.07725498825312,10.836061985604465
217,0.19553555472090278,0.166401615376881,0.10268717329820572,0.00605960727058176,0.0008624045689832799,0.7509890309611263,0.7449294236905445,0.04605060103601971,0.04518819646703644,3.5082966167301537,3.516900324797973,40,11.776556186378002,2.401289104204625,6.372216736059635,181.78867346420884,33.16782085970044
370,0.19778312572355997,0.1503990997621289,0.12844561343900668,0.05273392905047534,0.013229995307282676,0.9781402164174834,0.9254062873670079,0.09803444286716949,0.08480444755988681,3.128847301626544,3.182418127826196,40,18.970877260901034,3.1033218557946385,8.074363780766726,100.62356923799962,22.696540769841523
447,0.19834566084017993,0.1439010971665546,0.13650448860161887,0.05517280470829448,0.01515216220154931,0.969194628296434,0.9140218235881393,0.09536831020449046,0.08021614800294115,3.1417527269473378,3.2319832982939047,40,8.894796059466898,1.0425933556631208,5.686298539396375,57.15993379056454,16.92227820781991
269,0.20039564525151712,0.13819977346601056,0.1451180114586582,0.03462440204269805,0.008640665595228008,0.9889401519639123,0.954315749921214,0.10180673227589318,0.09316606668066518,3.102004944162651,3.130474728441682,40,18.960165426135063,0.38058283105492596,4.850274888053536,49.319984655827284,12.509895607456563
26,0.20193214036671725,0.15735099203947805,0.12655929289181303,0.04451600294418585,0.009249592368223949,0.8800822631898125,0.8355662602456266,0.07128076001610813,0.062031167647884175,3.3020949992520903,3.3639131532883395,40,16.685441792942584,2.9776692509651186,8.898740757536142,151.9503669878468,32.917427979595956
208,0.20236891671407373,0.19803959384069394,0.04163529420384453,-0.008906032071686509,0.0006442440468237016,0.8271595856320395,0.836065617703726,0.05798167067725255,0.057337426630428845,3.4366108128963972,3.492673335078588,40,9.44987101946026,3.28847624687478,8.287632352579385,31.08297927957028,35.505142574198544
433,0.20306562251813778,0.16237948298172145,0.12193666616431524,0.03697933072596664,0.005794806436620539,0.8529366219471802,0.8159572912212137,0.06467095913037249,0.058876152693751946,3.3609420884204666,3.3726869280952485,40,14.082887195050716,2.2919360108673574,5.649641393125057,133.6033222526312,22.3365061939694
308,0.20411696300617202,0.1523647835671653,0.13582601855091636,0.07508618820155481,0.018827349499628922,0.9909049052698504,0.9158187170682958,0.10355679571533598,0.08472944621570706,3.0810887567745606,3.153109590361694,40,1.0209962083026767,4.727980700042099,9.257432451751082,169.20267913583666,23.42075001494959
328,0.20514086596065648,0.1457060018476529,0.14440407166233163,0.07028376190297521,0.019080948081097372,0.9851829887554535,0.9148992268524783,0.10254394361829715,0.08346299553719977,3.0778509672572785,3.173971033659662,40,6.173430385068059,3.265646431129426,7.136713631264866,119.41495660319924,18.317953564878554
40,0.20751007688150716,0.16509483569925917,0.1257144670783901,0.06927292694296307,0.013202381753146326,0.8830350389127772,0.8137621119698142,0.07371850877976749,0.06051612702662116,3.254817331678443,3.3208513591257045,40,6.5573814157396555,4.350273867789656,3.4091045257635417,104.88010554667562,12.153198815137147
435,0.20824973489410276,0.16740757035555057,0.12386548135423152,0.02877442923749552,0.005333377403322302,0.8487939573679375,0.8200195281304421,0.06385262841290007,0.05851925100957778,3.365085500711136,3.400532366282495,40,5.206840072758496,0.6182257464155555,8.685879483353347,154.48131579719484,35.105557433515784
